0_macro_mape,94.7
0_micro_mape,99.18
0_feat,"[ 82.87  98.49  98.58  98.78  99.02  97.43 100.    94.58 100.   100.
 100.   100.   100.   100.   100.  ]"
1_macro_mape,56.69
1_micro_mape,80.11
1_feat,"[ 32.81   0.21  74.14  89.45  96.86  93.74  91.54 100.   100.   100.
 100.   100.   100.    28.84   0.42]"
2_macro_mape,74.59
2_micro_mape,79.95
2_feat,"[ 73.92  95.45  64.78   2.94 100.   100.   100.   100.    29.   100.
 100.   100.   100.    82.73 100.  ]"
3_macro_mape,82.68
3_micro_mape,93.97
3_feat,"[ 69.94  65.79  85.15  96.13 100.    95.   100.   100.   100.   100.
  98.92 100.   100.    53.47 100.  ]"
4_macro_mape,89.6
4_micro_mape,95.29
4_feat,"[ 96.66  62.29  71.86  93.36 100.    99.47 100.   100.   100.   100.
  98.97 100.   100.    83.97 100.  ]"
5_macro_mape,77.32
5_micro_mape,98.85
5_feat,"[ 63.74  51.35  87.77  99.54 100.    94.2  100.   100.   100.    84.69
 100.   100.   100.   100.   100.  ]"
6_macro_mape,85.64
6_micro_mape,90.26
6_feat,"[ 74.13  91.52  78.68  81.21 100.   100.   100.   100.    76.91 100.
 100.   100.    97.02  59.03 100.  ]"
7_macro_mape,73.43
7_micro_mape,91.83
7_feat,"[ 54.98  40.04  91.91  40.76 100.    98.7  100.    79.78 100.    98.87
 100.   100.   100.    97.71 100.  ]"
8_macro_mape,62.58
8_micro_mape,89.41
8_feat,"[ 67.8   66.49  95.94 100.   100.   100.   100.   100.    16.03 100.
 100.    86.42 100.    85.07 100.  ]"
9_macro_mape,91.6
9_micro_mape,99.22
9_feat,"[ 78.87  97.05  99.95  95.23 100.    90.47  96.29 100.   100.   100.
 100.   100.   100.   100.   100.  ]"
10_macro_mape,57.5
10_micro_mape,75.47
10_feat,"[ 54.63   7.15  56.9   89.65  77.65  68.22  76.49 100.   100.    81.1
 100.   100.   100.    28.95   0.56]"
11_macro_mape,84.59
11_micro_mape,98.61
11_feat,"[ 71.24  67.11  89.76 100.   100.   100.   100.   100.   100.    98.48
 100.   100.   100.    94.95 100.  ]"
