0_mape,89.72
0_ingrs,"[ 75.79  78.54  85.63  94.78  93.74  86.74 100.    99.51  31.04 100.
 100.   100.   100.   100.   100.  ]"
1_mape,71.77
1_ingrs,"[ 24.47   0.16  73.87  71.93  97.68  88.5   79.5  100.   100.   100.
 100.   100.   100.    39.97   0.42]"
2_mape,71.54
2_ingrs,"[ 26.84  91.93 100.     6.1  100.   100.    41.76 100.    13.84 100.
 100.   100.    52.78  39.83 100.  ]"
3_mape,96.61
3_ingrs,"[ 88.11  89.37  94.05  99.89 100.    91.74 100.   100.    94.35 100.
  91.61 100.   100.   100.   100.  ]"
4_mape,95.03
4_ingrs,"[ 80.8   89.2   88.74  96.25 100.    99.51 100.   100.    97.71 100.
  99.57 100.   100.    73.62 100.  ]"
5_mape,97.58
5_ingrs,"[ 96.17  96.49  88.5   95.27 100.    93.45 100.   100.   100.    93.79
 100.   100.   100.   100.   100.  ]"
6_mape,85.51
6_ingrs,"[ 83.81  69.6   95.73  41.16 100.   100.   100.   100.    95.7  100.
 100.   100.    88.04   8.61 100.  ]"
7_mape,79.03
7_ingrs,"[ 82.16  14.78  86.96  20.05 100.    87.27 100.    62.81  48.11  88.27
 100.   100.   100.    95.1  100.  ]"
8_mape,86.67
8_ingrs,"[ 58.87  82.05  98.22  39.5  100.   100.   100.   100.    58.26 100.
 100.    70.99 100.    92.12 100.  ]"
9_mape,93.31
9_ingrs,"[ 51.56  73.    95.95  92.79 100.    89.72  96.57 100.   100.   100.
 100.   100.   100.   100.   100.  ]"
10_mape,65.44
10_ingrs,"[ 23.83   5.45  71.63  66.87  88.1   42.2   64.   100.   100.   100.
 100.   100.    22.42  96.47   0.56]"
11_mape,87.77
11_ingrs,"[ 63.34  58.27  87.98  10.27 100.   100.   100.   100.   100.    99.85
 100.   100.   100.    96.87 100.  ]"
